Date,Open,High,Low,Close,Adj Close,Volume
3/12/2019,45,45.66749954,44.84249878,45.22750092,43.59602737,129870400
3/13/2019,45.5625,45.82500076,45.22999954,45.42750168,43.78880692,124130000
3/14/2019,45.97499847,46.02500153,45.63999939,45.93249893,44.27558899,94318000
3/15/2019,46.21250153,46.83250046,45.93500137,46.52999878,44.85153198,156171600
3/18/2019,46.45000076,47.09749985,46.44749832,47.00500107,45.30940247,104879200
3/19/2019,47.08750153,47.24750137,46.47999954,46.63249969,44.95033646,126585600
3/20/2019,46.55749893,47.37250137,46.18249893,47.04000092,45.34313583,124140800
3/21/2019,47.50500107,49.08250046,47.45249939,48.77249908,47.01314163,204136800
3/22/2019,48.83499908,49.42250061,47.69499969,47.76250076,46.03958893,169630800
3/25/2019,47.87749863,47.99499893,46.65000153,47.18500137,45.48291397,175381200
3/26/2019,47.91500092,48.22000122,46.14500046,46.69749832,45.01298904,199202000
3/27/2019,47.1875,47.43999863,46.63750076,47.11750031,45.41785049,119393600
3/28/2019,47.23749924,47.38999939,46.88249969,47.18000031,45.47808838,83121600
3/29/2019,47.45750046,47.52000046,47.13499832,47.48749924,45.7745018,94256000
4/1/2019,47.90999985,47.91999817,47.09500122,47.81000137,46.08537292,111448000
4/2/2019,47.77249908,48.61500168,47.76250076,48.50500107,46.75528717,91062800
4/3/2019,48.3125,49.125,48.28749847,48.83750153,47.07580185,93087200
4/4/2019,48.69749832,49.09249878,48.28499985,48.92250061,47.15774155,76457200
4/5/2019,49.11249924,49.27500153,48.98249817,49.25,47.47341919,74106400
4/8/2019,49.10499954,50.05749893,49.08499908,50.02500153,48.2204628,103526800
4/9/2019,50.08000183,50.71250153,49.80749893,49.875,48.0758667,143072800
4/10/2019,49.66999817,50.18500137,49.54499817,50.15499878,48.34578323,86781200
4/11/2019,50.21250153,50.25,49.61000061,49.73749924,47.94333267,83603200
4/12/2019,49.79999924,50.03499985,49.05250168,49.71749878,47.92405701,111042800
4/15/2019,49.64500046,49.96250153,49.50249863,49.80749893,48.01079941,70146400
4/16/2019,49.86500168,50.34249878,49.63999939,49.8125,48.01562881,102785600
4/17/2019,49.88499832,50.84500122,49.65250015,50.78250122,48.95063782,115627200
4/18/2019,50.77999878,51.03749847,50.63000107,50.96500015,49.1265564,96783200
4/22/2019,50.70750046,51.23500061,50.58499908,51.13249969,49.28801346,77758000
4/23/2019,51.10749817,51.9375,50.97499847,51.86999893,49.99890518,93292000
4/24/2019,51.84000015,52.11999893,51.76250076,51.79000092,49.92180252,70162400
4/25/2019,51.70750046,51.93999863,51.27999878,51.31999969,49.46875381,74172800
4/26/2019,51.22499847,51.25,50.52999878,51.07500076,49.23259735,74596400
4/29/2019,51.09999847,51.49250031,50.96500015,51.15250015,49.30729294,88818800
4/30/2019,50.76499939,50.84999847,49.77750015,50.16749954,48.35782623,186139600
5/1/2019,52.47000122,53.82749939,52.30749893,52.63000107,50.7314949,259309200
5/2/2019,52.45999908,53.16249847,52.03250122,52.28749847,50.40134811,127985200
5/3/2019,52.72249985,52.95999908,52.55749893,52.9375,51.02791214,83569600
5/6/2019,51.07249832,52.20999908,50.875,52.11999893,50.23989105,129772400
5/7/2019,51.47000122,51.85499954,50.20750046,50.71500015,48.88557816,155054800
5/8/2019,50.47499847,51.33499908,50.4375,50.72499847,48.89521408,105358000
5/9/2019,50.09999847,50.41999817,49.16500092,50.18000031,48.36986923,139634400
